"OBJECTID";"country";"wardcode";"wardname";"designated";"status";"survyear";"percancov";"standerr";"numpts";"warea"
1;"England";"E05000026";"Abbey";"Urban";"Completed";2020;13.7;1.98;300;1256670.0
2;"England";"E05000027";"Alibon";"Urban";"Completed";2020;7.33;1.51;300;1364760.0
3;"England";"E05000028";"Becontree";"Urban";"Completed";2020;8.67;1.62;300;1288370.0
4;"England";"E05000029";"Chadwell Heath";"Urban";"Completed";2020;14.5;2.0;300;3385010.0
5;"England";"E05000030";"Eastbrook";"Urban";"Completed";2020;15.8;1.99;335;3451330.0
6;"England";"E05000031";"Eastbury";"Urban";"Completed";2020;13.9;1.96;310;1439540.0
7;"England";"E05000032";"Gascoigne";"Urban";"Completed";2020;6.0;1.37;300;1089920.0
8;"England";"E05000033";"Goresbrook";"Urban";"Completed";2020;6.0;1.37;300;1278120.0
9;"England";"E05000034";"Heath";"Urban";"Completed";2020;7.67;1.54;300;2001750.0
10;"England";"E05000035";"Longbridge";"Urban";"Completed";2020;9.0;1.65;300;1645660.0
11;"England";"E05000036";"Mayesbrook";"Urban";"Completed";2020;7.0;1.47;300;1856850.0
12;"England";"E05000037";"Parsloes";"Urban";"Completed";2020;5.0;1.26;300;1244130.0
13;"England";"E05000038";"River";"Urban";"Completed";2020;4.61;1.2;304;3129730.0
14;"England";"E05000039";"Thames";"Urban";"Completed";2020;3.0;1.0;300;6688890.0
15;"England";"E05000040";"Valence";"Urban";"Completed";2020;10.0;1.73;300;1293120.0
16;"England";"E05000041";"Village";"Urban";"Completed";2020;14.07;2.46;199;2147990.0
17;"England";"E05000042";"Whalebone";"Urban";"Completed";2020;10.33;1.76;300;1554320.0
18;"England";"E05000043";"Brunswick Park";"Urban";"Completed";2020;19.7;2.29;300;3176350.0
19;"England";"E05000044";"Burnt Oak";"Urban";"Completed";2021;13.43;1.82;350;2068080.0
20;"England";"E05000045";"Childs Hill";"Urban";"Completed";2020;20.0;1.89;450;3094210.0
21;"England";"E05000046";"Colindale";"Urban";"Completed";2019;14.3;1.99;308;2637350.0
22;"England";"E05000047";"Coppetts";"Urban";"Completed";2019;16.3;2.13;300;2721540.0
23;"England";"E05000048";"East Barnet";"Urban";"Completed";2020;26.6;1.98;500;3750790.0
24;"England";"E05000049";"East Finchley";"Urban";"Completed";2019;28.7;2.61;300;2510800.0
25;"England";"E05000050";"Edgware";"Urban";"Completed";2020;12.5;1.65;400;5558750.0
26;"England";"E05000051";"Finchley Church End";"Urban";"Completed";2019;18.1;2.0;370;2726650.0
27;"England";"E05000052";"Garden Suburb";"Urban";"Completed";2019;28.3;2.6;300;4728810.0
28;"England";"E05000053";"Golders Green";"Urban";"Completed";2019;19.0;1.18;1108;2974020.0
29;"England";"E05000054";"Hale";"Urban";"Completed";2020;28.67;2.61;300;5425560.0
30;"England";"E05000055";"Hendon";"Urban";"Completed";2019;18.7;2.0;379;2839770.0
31;"England";"E05000056";"High Barnet";"Urban";"Completed";2020;26.8;1.98;500;8309940.0
32;"England";"E05000057";"Mill Hill";"Urban";"Completed";2019;24.0;2.0;456;9392880.0
33;"England";"E05000058";"Oakleigh";"Urban";"Completed";2020;16.3;2.13;300;3319800.0
34;"England";"E05000059";"Totteridge";"Urban";"Completed";2020;20.0;2.31;300;8777660.0
35;"England";"E05000060";"Underhill";"Urban";"Completed";2020;15.14;1.92;350;4552350.0
36;"England";"E05000061";"West Finchley";"Urban";"Completed";2020;16.3;1.84;400;2164210.0
37;"England";"E05000062";"West Hendon";"Urban";"Completed";2019;16.3;1.99;344;3430060.0
38;"England";"E05000063";"Woodhouse";"Urban";"Completed";2020;13.0;1.94;300;2622070.0
39;"England";"E05000085";"Alperton";"Urban";"Completed";2019;8.67;1.62;300;2059420.0
40;"England";"E05000086";"Barnhill";"Urban";"Completed";2020;23.11;1.99;450;2980340.0
41;"England";"E05000087";"Brondesbury Park";"Urban";"Completed";2020;20.24;1.96;420;1730120.0
42;"England";"E05000088";"Dollis Hill";"Urban";"Completed";2020;13.0;1.68;400;2300500.0
43;"England";"E05000089";"Dudden Hill";"Urban";"Completed";2020;13.14;1.81;350;1682570.0
44;"England";"E05000090";"Fryent";"Urban";"Completed";2020;16.86;2.0;350;2660600.0
45;"England";"E05000091";"Harlesden";"Urban";"Completed";2019;8.67;1.62;300;1114190.0
46;"England";"E05000092";"Kensal Green";"Urban";"Completed";2019;9.0;1.65;300;1120520.0
47;"England";"E05000093";"Kenton";"Urban";"Completed";2020;16.75;1.87;400;2244090.0
48;"England";"E05000094";"Kilburn";"Urban";"Completed";2020;17.75;1.91;400;944366.0
49;"England";"E05000095";"Mapesbury";"Urban";"Completed";2020;19.5;1.98;400;1394040.0
50;"England";"E05000096";"Northwick Park";"Urban";"Completed";2020;16.0;1.83;400;2681090.0
51;"England";"E05000097";"Preston";"Urban";"Completed";2020;15.25;1.8;400;2389280.0
52;"England";"E05000098";"Queens Park";"Urban";"Completed";2020;17.5;1.9;400;1486220.0
53;"England";"E05000099";"Queensbury";"Urban";"Completed";2020;9.71;1.58;350;2052150.0
54;"England";"E05000100";"Stonebridge";"Urban";"Completed";2019;8.33;1.6;300;4052360.0
55;"England";"E05000101";"Sudbury";"Urban";"Completed";2019;10.7;1.78;300;2125770.0
56;"England";"E05000102";"Tokyngton";"Urban";"Completed";2020;10.0;1.6;350;2760380.0
57;"England";"E05000103";"Welsh Harp";"Urban";"Completed";2020;13.71;1.84;350;2319980.0
58;"England";"E05000104";"Wembley Central";"Urban";"Completed";2020;6.0;1.27;350;1604930.0
59;"England";"E05000105";"Willesden Green";"Urban";"Completed";2021;13.71;1.84;350;1548310.0
60;"England";"E05000106";"Bickley";"Urban";"Completed";2020;24.67;2.49;300;4870140.0
61;"England";"E05000107";"Biggin Hill";"Urban";"Completed";2020;18.0;2.22;300;8282920.0
62;"England";"E05000108";"Bromley Common and Keston";"Urban";"Completed";2020;30.33;2.65;300;8309970.0
63;"England";"E05000109";"Bromley Town";"Urban";"Completed";2020;21.0;2.35;300;3717480.0
64;"England";"E05000111";"Chislehurst";"Rural";"Completed";2020;45.15;2.88;299;10443600.0
65;"England";"E05000112";"Clock House";"Urban";"Completed";2020;20.93;2.34;301;2267130.0
66;"England";"E05000113";"Copers Cope";"Urban";"Completed";2020;27.57;2.58;301;3287890.0
67;"England";"E05000115";"Cray Valley West";"Urban";"Completed";2020;23.4;1.89;501;3939350.0
68;"England";"E05000116";"Crystal Palace";"Urban";"Completed";2019;24.0;2.47;300;2291860.0
69;"England";"E05000118";"Farnborough and Crofton";"Urban";"Completed";2020;26.0;2.53;300;7007230.0
70;"England";"E05000120";"Kelsey and Eden Park";"Urban";"Completed";2020;23.1;2.42;303;5200360.0
71;"England";"E05000121";"Mottingham and Chislehurst North";"Urban";"Completed";2020;22.3;2.38;305;2442480.0
72;"England";"E05000122";"Orpington";"Urban";"Completed";2020;20.33;2.32;300;4257010.0
73;"England";"E05000123";"Penge and Cator";"Urban";"Completed";2020;14.33;2.02;300;2960650.0
74;"England";"E05000124";"Petts Wood and Knoll";"Urban";"Completed";2020;33.33;2.72;300;4302160.0
75;"England";"E05000125";"Plaistow and Sundridge";"Urban";"Completed";2020;26.0;2.53;300;4001940.0
76;"England";"E05000126";"Shortlands";"Urban";"Completed";2020;22.0;2.39;300;2457250.0
77;"England";"E05000127";"West Wickham";"Urban";"Completed";2020;27.33;2.57;300;4411550.0
78;"England";"E05000128";"Belsize";"Urban";"Completed";2020;24.0;2.01;450;780864.0
79;"England";"E05000129";"Bloomsbury";"Urban";"Completed";2020;14.3;1.76;400;1021300.0
80;"England";"E05000130";"Camden Town with Primrose Hill";"Urban";"Completed";2020;14.22;1.65;450;1166590.0
81;"England";"E05000131";"Cantelowes";"Urban";"Completed";2019;19.3;2.28;300;759590.0
82;"England";"E05000132";"Fortune Green";"Urban";"Completed";2020;22.44;1.97;450;1006910.0
83;"England";"E05000133";"Frognal and Fitzjohns";"Urban";"Completed";2020;29.6;2.04;500;1530810.0
84;"England";"E05000134";"Gospel Oak";"Urban";"Completed";2020;19.0;1.96;400;692560.0
85;"England";"E05000135";"Hampstead Town";"Urban";"Completed";2020;40.5;2.45;400;2450310.0
86;"England";"E05000136";"Haverstock";"Urban";"Completed";2020;20.67;1.91;450;732036.0
87;"England";"E05000137";"Highgate";"Urban";"Completed";2019;33.7;2.73;300;3240430.0
88;"England";"E05000138";"Holborn and Covent Garden";"Urban";"Completed";2019;11.0;1.81;300;1195350.0
89;"England";"E05000139";"Kentish Town";"Urban";"Completed";2020;12.5;1.65;400;1029360.0
90;"England";"E05000140";"Kilburn";"Urban";"Completed";2020;14.5;1.76;400;685424.0
91;"England";"E05000141";"Kings Cross";"Urban";"Completed";2019;17.3;2.19;300;611576.0
92;"England";"E05000142";"Regents Park";"Urban";"Completed";2020;18.0;1.92;400;1350060.0
93;"England";"E05000143";"St Pancras and Somers Town";"Urban";"Completed";2019;11.0;1.81;300;1399440.0
94;"England";"E05000144";"Swiss Cottage";"Urban";"Completed";2020;25.2;1.94;500;1257220.0
95;"England";"E05000145";"West Hampstead";"Urban";"Completed";2020;10.0;1.73;300;887643.0
96;"England";"E05000170";"Acton Central";"Urban";"Completed";0;18.2;0.0;0;1775370.0
97;"England";"E05000171";"Cleveland";"Urban";"Completed";0;18.5;0.0;0;2229520.0
